EIN,GrossReceiptsAmt,RevenueAmt,TotalNetAssetsFundBalanceGrp/EOYAmt,TotalLiabilitiesGrp/EOYAmt,labels
42964630,0.00010014852825739787,0.001377473968934841,0.050714737514977404,0.00027146002143823905,114
251525572,1.9130526986868102e-05,0.0015253424601435021,0.05002913482827912,0.000556618142284253,92
946181807,1.4787377312066573e-06,0.0013347858852778636,0.05253983429008887,1.5255619990807263e-05,90
221936892,8.21424651028486e-06,0.0013347858852778636,0.04965933732508835,1.68952205721346e-05,89
223091017,2.913754935794079e-06,0.001384051117906849,0.04937029005138965,0.00011125733307361229,94
611339396,8.57303009510661e-06,0.0014725836432653435,0.05048365909987713,2.099953617918871e-05,94
300308421,1.0529735967960396e-05,0.0014217100248615439,0.04890789010891071,0.000422043354925753,90
364592698,1.1534634555680215e-05,0.0013347858852778636,0.04955975386810374,1.7218068565428502e-05,96
650880021,0.0006051007563779896,0.0016378309210402322,0.055767565993947256,0.00015485528170647067,114
50482260,1.5170583481751312e-05,0.001587261846125198,0.05078992689145846,2.0330584193083977e-05,94
590652592,5.732806466975561e-06,0.0013347858852778636,0.04981456354239176,1.5288136297824152e-05,89
132626135,0.00252954919715045,0.001336610670247134,0.05249700490827003,0.0052568412717295876,6
820476202,6.872790646989105e-06,0.0014372338197059563,0.04971211174950178,1.879095284044934e-05,94
410128105,0.007545578773016918,0.0013347858852778636,0.11615229353949694,0.021109153069834862,94
364150724,0.0008237471685681366,0.001379734028256347,0.06076491197221223,1.900509745138581e-05,144
311358126,8.234364394938185e-06,0.0014027471169610708,0.04909379865166562,0.00023019398660309673,90
431769074,0.00011863481439656122,0.002139500210560873,0.05234163865829426,0.0017045773178238136,90
256063116,1.280589745025105e-05,0.0015494925112062843,0.04962517674364746,1.7288994102416797e-05,94
660380485,7.649598690946547e-06,0.0013398289273747566,0.049620257318071764,1.537937137285212e-05,113
522198798,9.742590786764783e-06,0.001499287402899775,0.049485314833358704,4.093561022662118e-05,96
470818929,0.00015025570723667953,0.003465687570409588,0.049934331931136784,5.0075744190611286e-05,94
943213100,0.0030682481664902114,0.005777414304161061,0.07724834415614545,0.0009764116634105851,81
351165883,0.00019240276343642098,0.003211137742682659,0.05070180822054311,7.904114420433552e-05,90
820467428,2.0517694666676e-05,0.0013895616218791806,0.04968704123339483,1.922587160064611e-05,82
416031510,0.005455156671074875,0.0014442571372688228,0.3536943324514671,0.0015665610634598755,42
590952956,0.0001444718886080357,0.0013347858852778636,0.0636775705522558,4.7890206389854755e-05,90
251053485,0.0008801446859007324,0.001340592019270997,0.08300799805126799,0.0002938841717416823,36
222762623,1.100679631568576e-05,0.001413059504202606,0.04971153178085045,1.6060214435632935e-05,90
135563409,0.00013626833063908777,0.0013347858852778636,0.052964391569803315,4.96192531231703e-05,90
521231931,0.002417162259778604,0.00536648015697132,0.15264429177872454,0.0036362122192389497,81
262464764,3.2152889361947944e-05,0.0013355514531374272,0.05399170626235372,3.0917430742408026e-05,32
331107506,0.0003058733431977809,0.0013347858852778636,0.05121645940981238,6.880818872458363e-05,90
383791803,2.126697605623151e-05,0.0015992420422613067,0.0496272270553585,2.5719662234989857e-05,90
770045382,4.4427785935315804e-05,0.0018451012387234603,0.05107460709067798,1.963974420743389e-05,90
410832480,0.0013878261818052753,0.0013404474230129164,0.14765272292615345,0.00016316988030299316,11
61590060,0.0006946508491661217,0.0013347858852778636,0.05816895906355534,3.253188117041162e-05,94
421331493,3.535980316712258e-05,0.0013347858852778636,0.050985318757968835,2.17486740097817e-05,90
582366765,0.00021451867322787795,0.0013347858852778636,0.05179475894948293,9.33931475985278e-05,90
30538111,4.3354509966714594e-05,0.0013347858852778636,0.04964448647120566,9.865763241225248e-05,121
942707273,0.0010505923069208736,0.0015463316964277622,0.056891069907096296,0.0003330293856978007,144
383160228,2.5037542035798006e-07,0.0013390197825607028,0.049626598075271845,1.5255619990807263e-05,94
131635294,0.0037407390632178327,0.0013347858852778636,0.06776866086117891,0.003968827837560729,90
561380249,0.0011845810498877078,0.0013347858852778636,0.110193426830807,0.003104792215508212,90
954703838,0.0020195726225096335,0.001460062201546762,0.06669120824825177,0.0010117194269848753,39
521674088,0.00018213057738916796,0.0013422984531934138,0.0507039052098116,0.0001262414576854436,54
237175375,0.021870758022310574,0.20076742829840477,0.10751432991192011,0.02151961430561658,94
911550803,3.521525894783755e-05,0.0013347858852778636,0.04990459910499977,1.5255619990807263e-05,90
943173571,0.0004185678762907308,0.0014183843109256903,0.05679130596355621,0.0004623890414723202,119
561422691,3.651800179292123e-05,0.0013610484282480834,0.04980799445413982,1.8612691921075198e-05,113
510292919,0.0004602039909308926,0.0013347858852778636,0.0587200409194762,0.00018716039057390044,90
741984482,0.0008495104772025488,0.0013347858852778636,0.05290969636390078,0.0009610777517290964,90
570887278,0.0005577148800230876,0.0014416667844399887,0.054788005554506414,6.207468240291148e-05,111
952564024,0.000822983274624808,0.0013347858852778636,0.05281528011252599,0.0005994933660090467,90
260615175,0.0008366300235160133,0.0013347858852778636,0.05405220232170849,0.00010776661806919727,89
936027731,7.151656154653082e-05,0.0014262544079451246,0.051005295196639294,3.0823143975135754e-05,82
943281780,0.002065074416505423,0.001445820460511153,0.06398040131969016,0.00010922153865436073,46
741109652,0.005454261000594517,0.0013347858852778636,0.3916307043023347,0.01938003330636699,92
860253821,0.0006834239567499201,0.008516272441970623,0.07215334678279468,9.203198762680141e-05,94
237337229,0.001473048645266301,0.0013347858852778636,0.061566254774447514,0.0023740444085332342,90
860902767,0.00012929755681589776,0.0030048588007140793,0.04329375855587715,0.0017416793712069873,94
910839385,0.00013338523571090945,0.0013347858852778636,0.05119613677925749,3.3905774064950465e-05,90
352296166,5.089944880358402e-05,0.0013347858852778636,0.050250999093538556,5.3160794588068024e-05,87
510065731,0.0005313502018410178,0.0013470334854528885,0.05146419510026869,0.00024339297648277755,32
160746860,0.0005531456310944166,0.009656232201228153,0.05368996191506904,0.0004441923267733737,94
364279013,0.00021046704253666282,0.0013347858852778636,0.05427791126178331,7.55701073533579e-05,92
330051202,8.118939861969411e-05,0.0015476563368057267,0.05047559983060356,3.103286889385634e-05,82
521549711,0.00012485618969549614,0.0013581946329216503,0.050856439687968664,0.00010685679285732665,145
